Model,Train Loss (Final),Val Loss (Final),Train Accuracy (Final),Val Accuracy (Final),Time (s)
filter_64_kernel_3_padding_1,1.428914416202428,1.501952547234849,0.499,0.4818,146.83256030082703
filter_4_kernel_5_padding_1,1.5968237534136782,1.6141744185560427,0.44172,0.4424,125.2422080039978
filter_4_kernel_3_padding_1,1.7433054307600815,1.7492902267474335,0.41684,0.412,120.85235238075256
filter_4_kernel_5_padding_0,1.7750716179666501,1.7679679953633025,0.39626,0.4013,127.35054326057434
filter_32_kernel_5_padding_0,1.7281926386034496,1.783693958014345,0.37814,0.366,147.86364674568176
filter_16_kernel_5_padding_0,1.7939380761224035,1.8140729924741263,0.36374,0.3549,135.24185180664062
filter_32_kernel_3_padding_1,1.8190702992376424,1.862596238383089,0.34018,0.331,149.89342331886292
filter_64_kernel_3_padding_0,1.9212602419648808,1.968275441529271,0.33268,0.3183,140.7527768611908
filter_16_kernel_3_padding_0,1.983259726852007,2.0057934000850106,0.3187,0.3177,128.04413557052612
filter_4_kernel_3_padding_0,1.9699659283467768,1.9819952112417252,0.32162,0.316,119.15560698509216
filter_16_kernel_5_padding_1,1.8295792332079954,1.878310389412097,0.31964,0.3099,131.16368961334229
filter_32_kernel_5_padding_1,1.8044815051273437,1.854942062030585,0.3202,0.3063,140.97827696800232
filter_32_kernel_3_padding_0,1.9529648514336984,1.9737255668487792,0.26598,0.2591,143.46563124656677
filter_64_kernel_5_padding_1,1.9878342500956334,2.0189542835132004,0.26308,0.2536,151.40034341812134
filter_16_kernel_3_padding_1,1.9587648910203959,1.9920951699296507,0.24492,0.2455,131.03060841560364
filter_16_kernel_1_padding_0,2.1535162879195795,2.1639416153057693,0.2248,0.2193,132.07182335853577
filter_4_kernel_1_padding_0,2.2249558159577414,2.224322647713244,0.20396,0.2053,115.70040655136108
filter_64_kernel_1_padding_1,2.2094219691922707,2.218124275009472,0.2065,0.2051,146.10622763633728
filter_16_kernel_4_padding_0,2.161161971412556,2.1668766717941237,0.18038,0.1803,146.10052275657654
filter_64_kernel_5_padding_0,2.055128761994404,2.0940933425586445,0.17754,0.1792,146.3067376613617
filter_4_kernel_1_padding_1,2.3025848868559815,2.3025848880743447,0.1,0.1,121.00946807861328
filter_16_kernel_1_padding_1,2.3025848868559815,2.3025848880743447,0.1,0.1,192.31655025482178
filter_32_kernel_1_padding_0,2.3025848868559815,2.3025848880743447,0.1,0.1,134.15749716758728
filter_32_kernel_1_padding_1,2.3025848868559815,2.3025848880743447,0.1,0.1,144.60341930389404
filter_64_kernel_1_padding_0,2.3025848868559815,2.3025848880743447,0.1,0.1,137.91899800300598
